,Q1,Q2,Q3,Q4,Q5,Q6
7858,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
7859,25-29,Woman,United States of America,Bachelor’s degree,Student,< 1 years
7860,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Research Scientist,1-3 years
7861,18-21,Woman,India,Bachelor’s degree,Currently not employed,1-3 years
7862,45-49,Man,Japan,Bachelor’s degree,Other,20+ years
7863,22-24,Woman,Other,Master’s degree,Student,5-10 years
7864,18-21,Man,Nigeria,Master’s degree,Machine Learning Engineer,1-3 years
7865,35-39,Man,India,Master’s degree,Other,1-3 years
7866,18-21,Man,India,Bachelor’s degree,Student,1-3 years
7867,50-54,Woman,United States of America,Master’s degree,Other,I have never written code
7868,18-21,Man,Brazil,Bachelor’s degree,Student,1-3 years
7869,22-24,Man,Greece,Bachelor’s degree,Data Analyst,5-10 years
7870,18-21,Man,India,Master’s degree,Student,1-3 years
7871,35-39,Man,Brazil,Doctoral degree,Student,< 1 years
7872,30-34,Man,India,Master’s degree,Data Analyst,1-3 years
7873,30-34,Man,India,Doctoral degree,Currently not employed,1-3 years
7874,25-29,Man,United States of America,Doctoral degree,Machine Learning Engineer,3-5 years
7875,40-44,Man,Nigeria,Bachelor’s degree,Software Engineer,< 1 years
7876,25-29,Woman,China,Doctoral degree,Currently not employed,< 1 years
7877,35-39,Man,Nigeria,Bachelor’s degree,Software Engineer,5-10 years
7878,18-21,Woman,India,Master’s degree,Student,< 1 years
7879,50-54,Man,France,Master’s degree,Business Analyst,3-5 years
7880,18-21,Man,Kenya,Bachelor’s degree,Student,1-3 years
7881,22-24,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years
7882,18-21,Man,India,Bachelor’s degree,Student,1-3 years
7883,35-39,Man,Brazil,Master’s degree,Data Analyst,10-20 years
7884,25-29,Woman,Chile,Bachelor’s degree,Machine Learning Engineer,1-3 years
7885,30-34,Woman,United Arab Emirates,Bachelor’s degree,Other,3-5 years
7886,35-39,Woman,United States of America,Bachelor’s degree,Other,I have never written code
7887,22-24,Woman,India,Master’s degree,Student,< 1 years
7888,30-34,Man,Turkey,Doctoral degree,Student,3-5 years
7889,22-24,Man,India,Master’s degree,Software Engineer,3-5 years
7890,40-44,Man,Czech Republic,Bachelor’s degree,Business Analyst,1-3 years
7891,22-24,Woman,Turkey,Bachelor’s degree,Software Engineer,< 1 years
7892,22-24,Man,Japan,Master’s degree,Student,1-3 years
7893,18-21,Man,India,Master’s degree,Student,1-3 years
7894,25-29,Man,Other,Master’s degree,Data Analyst,1-3 years
7895,22-24,Man,India,Bachelor’s degree,Student,1-3 years
7896,18-21,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,1-3 years
7897,30-34,Man,United States of America,Master’s degree,Data Engineer,5-10 years
7898,18-21,Man,Other,Bachelor’s degree,Student,< 1 years
7899,30-34,Man,Belgium,Master’s degree,Data Scientist,3-5 years
7900,40-44,Man,Other,Bachelor’s degree,Currently not employed,5-10 years
7901,50-54,Man,Canada,Doctoral degree,Data Scientist,20+ years
7902,22-24,Woman,South Korea,Some college/university study without earning a bachelor’s degree,Student,< 1 years
7903,18-21,Man,Turkey,Bachelor’s degree,Student,1-3 years
7904,22-24,Woman,China,Bachelor’s degree,Student,< 1 years
7905,18-21,Woman,Egypt,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years
7906,22-24,Nonbinary,United States of America,Bachelor’s degree,Product Manager,1-3 years
7907,35-39,Man,Ukraine,Doctoral degree,Data Scientist,3-5 years
7908,50-54,Man,Greece,Doctoral degree,Data Analyst,I have never written code
7909,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years
7910,25-29,Woman,Turkey,Master’s degree,Software Engineer,3-5 years
7911,45-49,Man,South Africa,Doctoral degree,Research Scientist,1-3 years
7912,18-21,Woman,India,Bachelor’s degree,Data Analyst,1-3 years
7913,30-34,Man,South Africa,Bachelor’s degree,Program/Project Manager,< 1 years
7914,35-39,Man,India,Master’s degree,Data Scientist,10-20 years
7915,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years
7916,35-39,Man,India,Bachelor’s degree,Program/Project Manager,5-10 years
7917,30-34,Man,India,Master’s degree,Other,< 1 years
7918,35-39,Prefer not to say,India,Master’s degree,Data Analyst,1-3 years
7919,25-29,Man,India,Bachelor’s degree,Data Analyst,3-5 years
7920,30-34,Woman,Russia,Master’s degree,Data Analyst,< 1 years
7921,18-21,Woman,South Korea,Some college/university study without earning a bachelor’s degree,Student,< 1 years
7922,25-29,Man,France,Doctoral degree,Statistician,5-10 years
7923,22-24,Man,India,Bachelor’s degree,Software Engineer,5-10 years
7924,30-34,Man,Brazil,Master’s degree,Student,3-5 years
7925,55-59,Man,Turkey,Master’s degree,Data Scientist,3-5 years
7926,25-29,Man,United States of America,Master’s degree,Data Scientist,5-10 years
7927,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
7928,22-24,Man,Germany,Bachelor’s degree,Student,1-3 years
7929,35-39,Man,Canada,Master’s degree,Software Engineer,10-20 years
7930,25-29,Man,India,Bachelor’s degree,Student,5-10 years
7931,50-54,Man,United States of America,Bachelor’s degree,Other,1-3 years
7932,30-34,Man,India,Professional doctorate,Currently not employed,3-5 years
7933,45-49,Man,India,Master’s degree,Data Scientist,10-20 years
7934,30-34,Man,South Korea,Master’s degree,Software Engineer,3-5 years
7935,30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years
7936,25-29,Man,Japan,No formal education past high school,Student,1-3 years
7937,22-24,Man,Russia,Master’s degree,Machine Learning Engineer,< 1 years
7938,18-21,Man,Egypt,Bachelor’s degree,Student,1-3 years
7939,60-69,Man,Russia,Master’s degree,Software Engineer,20+ years
7940,18-21,Man,Egypt,Bachelor’s degree,Student,1-3 years
7941,30-34,Man,Taiwan,I prefer not to answer,Program/Project Manager,3-5 years
7942,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
7943,55-59,Man,United States of America,Doctoral degree,Research Scientist,5-10 years
7944,30-34,Man,Germany,Master’s degree,Machine Learning Engineer,5-10 years
7945,22-24,Man,Kenya,Bachelor’s degree,Data Analyst,< 1 years
7946,25-29,Man,United States of America,Master’s degree,Student,5-10 years
7947,22-24,Woman,Pakistan,Master’s degree,Data Analyst,1-3 years
7948,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years
7949,45-49,Man,France,Doctoral degree,Data Engineer,< 1 years
7950,25-29,Man,Canada,Master’s degree,Student,3-5 years
7951,30-34,Woman,Canada,Doctoral degree,Student,5-10 years
7952,25-29,Woman,China,Master’s degree,Business Analyst,< 1 years
7953,18-21,Man,Ecuador,Bachelor’s degree,Student,1-3 years
7954,40-44,Man,United States of America,Master’s degree,Data Analyst,10-20 years
7955,40-44,Man,Japan,I prefer not to answer,Data Engineer,10-20 years
7956,18-21,Woman,Kenya,Bachelor’s degree,Student,1-3 years
7957,40-44,Man,South Korea,Bachelor’s degree,Machine Learning Engineer,3-5 years
7958,25-29,Man,Other,Bachelor’s degree,Data Scientist,1-3 years
7959,22-24,Woman,France,Master’s degree,Data Scientist,1-3 years
7960,18-21,Man,India,Bachelor’s degree,Student,1-3 years
7961,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
7962,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,3-5 years
7963,30-34,Man,Nepal,Master’s degree,Data Engineer,< 1 years
7964,30-34,Man,Tunisia,Master’s degree,Program/Project Manager,3-5 years
7965,50-54,Man,Colombia,Master’s degree,Machine Learning Engineer,20+ years
7966,35-39,Man,United States of America,Bachelor’s degree,Data Scientist,3-5 years
7967,60-69,Man,Ukraine,Doctoral degree,Research Scientist,20+ years
7968,25-29,Woman,South Korea,Bachelor’s degree,Data Engineer,1-3 years
7969,35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Currently not employed,< 1 years
7970,35-39,Man,Ghana,Master’s degree,Machine Learning Engineer,1-3 years
7971,30-34,Man,China,Bachelor’s degree,Other,< 1 years
7972,30-34,Man,Spain,Master’s degree,Program/Project Manager,1-3 years
7973,25-29,Man,Uganda,Bachelor’s degree,Currently not employed,1-3 years
7974,18-21,Man,Russia,Master’s degree,Data Scientist,1-3 years
7975,35-39,Man,United States of America,Master’s degree,Data Analyst,5-10 years
7976,18-21,Man,India,Bachelor’s degree,Student,1-3 years
7977,18-21,Man,India,Master’s degree,Student,1-3 years
7978,22-24,Woman,China,Bachelor’s degree,Student,< 1 years
7979,35-39,Man,South Africa,Some college/university study without earning a bachelor’s degree,Currently not employed,1-3 years
7980,18-21,Man,Russia,Bachelor’s degree,Data Analyst,1-3 years
7981,18-21,Man,India,Master’s degree,Student,1-3 years
7982,35-39,Man,South Korea,Doctoral degree,Research Scientist,1-3 years
7983,30-34,Man,China,Bachelor’s degree,Machine Learning Engineer,5-10 years
7984,55-59,Man,United States of America,Bachelor’s degree,Data Analyst,I have never written code
7985,45-49,Man,South Korea,Doctoral degree,Data Scientist,< 1 years
7986,18-21,Man,Indonesia,Master’s degree,Student,1-3 years
7987,55-59,Man,India,Bachelor’s degree,Other,< 1 years
7988,40-44,Man,Japan,Master’s degree,Data Scientist,1-3 years
7989,35-39,Woman,Canada,Master’s degree,Business Analyst,1-3 years
7990,30-34,Man,United States of America,Master’s degree,Machine Learning Engineer,I have never written code
7991,35-39,Man,Nigeria,Master’s degree,Student,1-3 years
7992,22-24,Woman,India,Bachelor’s degree,Machine Learning Engineer,< 1 years
7993,40-44,Prefer not to say,Hong Kong (S.A.R.),Doctoral degree,Research Scientist,10-20 years
7994,30-34,Woman,Turkey,Doctoral degree,Other,I have never written code
7995,45-49,Woman,India,Bachelor’s degree,Data Scientist,5-10 years
7996,18-21,Man,Taiwan,Bachelor’s degree,Machine Learning Engineer,< 1 years
7997,35-39,Man,China,Bachelor’s degree,Software Engineer,10-20 years
7998,25-29,Woman,Spain,Doctoral degree,Data Scientist,1-3 years
7999,18-21,Man,India,Bachelor’s degree,Student,< 1 years
8000,45-49,Man,Japan,Master’s degree,Other,20+ years
8001,40-44,Man,Mexico,Doctoral degree,Data Scientist,1-3 years
8002,60-69,Man,United States of America,Master’s degree,Other,3-5 years
8003,30-34,Man,India,Master’s degree,Other,3-5 years
8004,30-34,Man,Egypt,Master’s degree,Data Engineer,5-10 years
8005,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
8006,60-69,Man,United States of America,Doctoral degree,Data Analyst,20+ years
8007,35-39,Woman,Canada,Master’s degree,Data Analyst,3-5 years
8008,50-54,Man,Australia,Master’s degree,Data Analyst,3-5 years
8009,18-21,Man,India,Bachelor’s degree,Student,< 1 years
8010,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years
8011,18-21,Man,Other,Bachelor’s degree,Data Engineer,1-3 years
8012,22-24,Woman,Turkey,Some college/university study without earning a bachelor’s degree,Student,3-5 years
8013,25-29,Woman,Singapore,Bachelor’s degree,Currently not employed,1-3 years
8014,35-39,Man,Colombia,Doctoral degree,Data Scientist,20+ years
8015,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Data Scientist,I have never written code
8016,18-21,Man,India,Bachelor’s degree,Student,3-5 years
8017,40-44,Man,Germany,Master’s degree,Other,10-20 years
8018,50-54,Man,Brazil,Bachelor’s degree,Student,< 1 years
8019,30-34,Man,Other,Master’s degree,Data Analyst,5-10 years
8020,18-21,Man,India,Bachelor’s degree,Student,< 1 years
8021,30-34,Woman,Thailand,Master’s degree,Student,< 1 years
8022,30-34,Man,Turkey,Doctoral degree,Research Scientist,5-10 years
8023,25-29,Man,India,I prefer not to answer,Data Analyst,3-5 years
8024,60-69,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,20+ years
8025,35-39,Woman,Colombia,Master’s degree,Data Engineer,10-20 years
8026,40-44,Woman,Spain,Master’s degree,Currently not employed,< 1 years
8027,30-34,Man,India,I prefer not to answer,Data Scientist,3-5 years
8028,25-29,Woman,United States of America,Master’s degree,Student,1-3 years
8029,40-44,Man,China,Master’s degree,Program/Project Manager,3-5 years
8030,18-21,Man,United States of America,Bachelor’s degree,Student,1-3 years
8031,25-29,Man,India,Bachelor’s degree,Data Scientist,3-5 years
8032,55-59,Man,Denmark,Bachelor’s degree,Machine Learning Engineer,20+ years
8033,25-29,Man,India,Bachelor’s degree,Data Analyst,1-3 years
8034,45-49,Man,United States of America,Master’s degree,Software Engineer,20+ years
8035,18-21,Woman,India,Bachelor’s degree,Student,3-5 years
8036,30-34,Woman,United States of America,I prefer not to answer,Other,< 1 years
8037,25-29,Woman,Taiwan,Master’s degree,Data Scientist,1-3 years
8038,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
8039,40-44,Man,South Africa,Master’s degree,Software Engineer,20+ years
8040,25-29,Man,Japan,I prefer not to answer,Other,1-3 years
8041,22-24,Man,Taiwan,Bachelor’s degree,Business Analyst,1-3 years
8042,35-39,Man,Japan,I prefer not to answer,Other,10-20 years
8043,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years
8044,40-44,Prefer not to say,Germany,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 years
8045,18-21,Man,Bangladesh,Some college/university study without earning a bachelor’s degree,Student,1-3 years
8046,35-39,Man,Poland,Doctoral degree,Data Scientist,5-10 years
8047,35-39,Man,India,Master’s degree,Software Engineer,10-20 years
8048,60-69,Man,France,Professional doctorate,Other,20+ years
8049,50-54,Man,South Korea,Doctoral degree,Data Engineer,I have never written code
8050,18-21,Woman,India,Bachelor’s degree,Data Scientist,< 1 years
8051,22-24,Man,Pakistan,Master’s degree,Currently not employed,< 1 years
8052,18-21,Man,Philippines,Bachelor’s degree,Student,3-5 years
8053,22-24,Woman,China,Master’s degree,Student,1-3 years
8054,18-21,Man,India,Bachelor’s degree,Student,5-10 years
8055,22-24,Man,Turkey,Bachelor’s degree,Student,3-5 years
8056,50-54,Man,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,20+ years
8057,22-24,Man,China,Master’s degree,Data Analyst,< 1 years
8058,35-39,Man,Colombia,Master’s degree,Business Analyst,< 1 years
8059,45-49,Man,Kenya,Doctoral degree,Research Scientist,10-20 years
8060,60-69,Man,United States of America,Doctoral degree,Research Scientist,20+ years
8061,50-54,Man,Japan,Doctoral degree,Research Scientist,10-20 years
8062,22-24,Woman,Germany,Master’s degree,Student,1-3 years
8063,25-29,Man,United States of America,Master’s degree,Data Scientist,< 1 years
8064,30-34,Man,Turkey,Doctoral degree,Student,1-3 years
8065,25-29,Man,Other,Bachelor’s degree,Data Scientist,1-3 years
8066,18-21,Man,India,Bachelor’s degree,Student,5-10 years
8067,22-24,Man,Nepal,Some college/university study without earning a bachelor’s degree,Student,< 1 years
8068,25-29,Man,India,Bachelor’s degree,Business Analyst,5-10 years
8069,25-29,Woman,India,Master’s degree,Other,I have never written code
8070,25-29,Man,United Arab Emirates,No formal education past high school,Other,I have never written code
8071,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years
8072,25-29,Man,Bangladesh,Master’s degree,Machine Learning Engineer,5-10 years
8073,50-54,Man,Other,Professional doctorate,Currently not employed,1-3 years
8074,35-39,Man,India,Master’s degree,Data Scientist,5-10 years
8075,25-29,Man,India,Master’s degree,Currently not employed,< 1 years
8076,50-54,Man,Italy,No formal education past high school,Currently not employed,10-20 years
8077,35-39,Man,Netherlands,Master’s degree,Research Scientist,10-20 years
8078,25-29,Man,Nigeria,Master’s degree,Other,< 1 years
8079,25-29,Woman,Russia,Master’s degree,Currently not employed,< 1 years
8080,18-21,Man,India,Master’s degree,Data Analyst,1-3 years
8081,18-21,Man,India,Bachelor’s degree,Student,< 1 years
8082,30-34,Man,United States of America,Doctoral degree,Data Scientist,< 1 years
8083,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
8084,25-29,Man,Other,Bachelor’s degree,Software Engineer,3-5 years
8085,18-21,Man,Thailand,Bachelor’s degree,Student,< 1 years
8086,30-34,Man,Other,Master’s degree,Student,< 1 years
8087,30-34,Man,Nigeria,Master’s degree,Data Analyst,I have never written code
8088,18-21,Man,India,Bachelor’s degree,Currently not employed,< 1 years
8089,22-24,Man,Brazil,Bachelor’s degree,Student,< 1 years
8090,18-21,Man,India,Bachelor’s degree,Student,3-5 years
8091,22-24,Man,China,Master’s degree,Data Scientist,< 1 years
8092,30-34,Man,Japan,Master’s degree,Data Engineer,3-5 years
8093,40-44,Man,France,Master’s degree,Other,5-10 years
8094,50-54,Man,United States of America,Doctoral degree,Machine Learning Engineer,10-20 years
8095,35-39,Man,Other,Master’s degree,Other,1-3 years
8096,18-21,Man,India,Bachelor’s degree,Student,3-5 years
8097,30-34,Woman,United States of America,Master’s degree,Program/Project Manager,I have never written code
8098,30-34,Man,Nigeria,Bachelor’s degree,Statistician,I have never written code
8099,30-34,Man,Malaysia,Master’s degree,Software Engineer,5-10 years
8100,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Student,1-3 years
8101,40-44,Man,India,Some college/university study without earning a bachelor’s degree,Program/Project Manager,3-5 years
8102,45-49,Man,Ukraine,Master’s degree,Research Scientist,20+ years
8103,22-24,Man,India,Master’s degree,Machine Learning Engineer,3-5 years
8104,35-39,Man,Singapore,Bachelor’s degree,Currently not employed,< 1 years
8105,22-24,Man,Nigeria,Bachelor’s degree,Student,< 1 years
8106,40-44,Man,United States of America,Master’s degree,Data Analyst,20+ years
8107,25-29,Man,India,Master’s degree,Software Engineer,10-20 years
8108,35-39,Man,Other,Master’s degree,Other,1-3 years
8109,55-59,Man,United States of America,Doctoral degree,Other,I have never written code
8110,18-21,Man,Pakistan,Bachelor’s degree,Data Analyst,I have never written code
8111,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years
8112,25-29,Man,Japan,Master’s degree,Software Engineer,5-10 years
8113,18-21,Man,Nigeria,Bachelor’s degree,Student,1-3 years
8114,18-21,Man,China,Bachelor’s degree,Student,1-3 years
8115,55-59,Man,Canada,Master’s degree,DBA/Database Engineer,20+ years
8116,22-24,Man,Ukraine,Doctoral degree,Data Scientist,3-5 years
8117,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
8118,30-34,Man,Mexico,Master’s degree,DBA/Database Engineer,5-10 years
8119,22-24,Woman,India,Master’s degree,Student,1-3 years
8120,22-24,Man,Canada,Bachelor’s degree,Data Scientist,1-3 years
8121,25-29,Man,India,Master’s degree,Student,< 1 years
8122,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years
8123,70+,Prefer not to say,Other,I prefer not to answer,Currently not employed,20+ years
8124,40-44,Man,Japan,No formal education past high school,Software Engineer,5-10 years
8125,45-49,Man,India,Doctoral degree,Other,10-20 years
8126,40-44,Man,Taiwan,Master’s degree,Software Engineer,10-20 years
8127,30-34,Man,Chile,Bachelor’s degree,Developer Relations/Advocacy,1-3 years
8128,60-69,Man,United States of America,Master’s degree,Product Manager,20+ years
8129,22-24,Man,Colombia,Bachelor’s degree,Student,< 1 years
8130,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Student,< 1 years
8131,22-24,Man,Spain,Master’s degree,Program/Project Manager,3-5 years
8132,30-34,Man,India,Bachelor’s degree,Software Engineer,10-20 years
8133,25-29,Man,Nigeria,Bachelor’s degree,Machine Learning Engineer,< 1 years
8134,22-24,Woman,Spain,Master’s degree,Data Analyst,< 1 years
8135,25-29,Man,France,Master’s degree,Data Scientist,1-3 years
8136,25-29,Man,Brazil,Bachelor’s degree,Data Scientist,5-10 years
8137,25-29,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Business Analyst,< 1 years
8138,40-44,Man,Denmark,Master’s degree,Data Analyst,1-3 years
8139,22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years
8140,55-59,Man,Spain,Master’s degree,Program/Project Manager,20+ years
8141,50-54,Prefer not to say,Greece,Bachelor’s degree,Research Scientist,5-10 years
8142,18-21,Man,India,Bachelor’s degree,Student,1-3 years
8143,22-24,Man,Russia,Bachelor’s degree,Machine Learning Engineer,1-3 years
8144,35-39,Man,Pakistan,Master’s degree,Program/Project Manager,10-20 years
8145,25-29,Man,Other,Master’s degree,Currently not employed,1-3 years
8146,70+,Man,United States of America,Doctoral degree,Statistician,20+ years
8147,40-44,Man,Denmark,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years
8148,45-49,Man,Other,Master’s degree,Data Scientist,< 1 years
8149,18-21,Man,China,Master’s degree,Student,< 1 years
8150,25-29,Woman,India,Master’s degree,Machine Learning Engineer,< 1 years
8151,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
8152,22-24,Prefer not to say,I do not wish to disclose my location,Master’s degree,Student,1-3 years
8153,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Student,< 1 years
8154,22-24,Man,China,Master’s degree,Student,< 1 years
8155,25-29,Woman,United States of America,Bachelor’s degree,Student,1-3 years
8156,30-34,Woman,Bangladesh,Master’s degree,Currently not employed,1-3 years
8157,60-69,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years
8158,45-49,Man,Japan,I prefer not to answer,Other,< 1 years
8159,40-44,Prefer not to say,Australia,I prefer not to answer,Data Scientist,5-10 years
8160,25-29,Woman,India,Master’s degree,Student,5-10 years
8161,45-49,Man,Nigeria,Master’s degree,Other,1-3 years
8162,18-21,Man,Philippines,Some college/university study without earning a bachelor’s degree,Student,< 1 years
8163,22-24,Man,United Arab Emirates,Master’s degree,Other,< 1 years
8164,35-39,Man,Other,Master’s degree,Software Engineer,1-3 years
8165,25-29,Man,China,Master’s degree,Data Scientist,3-5 years
8166,18-21,Woman,Nepal,Some college/university study without earning a bachelor’s degree,Currently not employed,1-3 years
8167,35-39,Man,Austria,Doctoral degree,Research Scientist,5-10 years
8168,18-21,Man,United States of America,Bachelor’s degree,Student,3-5 years
8169,35-39,Man,India,Bachelor’s degree,Software Engineer,10-20 years
8170,45-49,Man,France,Master’s degree,Data Scientist,10-20 years
8171,25-29,Man,Czech Republic,Master’s degree,Data Scientist,5-10 years
8172,40-44,Man,Brazil,Master’s degree,Data Analyst,< 1 years
8173,40-44,Man,Germany,I prefer not to answer,Other,3-5 years
8174,18-21,Man,India,Bachelor’s degree,Student,3-5 years
8175,22-24,Man,Morocco,Master’s degree,Data Analyst,1-3 years
8176,25-29,Man,China,Bachelor’s degree,Student,1-3 years
8177,55-59,Woman,United States of America,Master’s degree,Other,20+ years
8178,50-54,Man,Chile,Doctoral degree,Research Scientist,5-10 years
8179,25-29,Man,India,Bachelor’s degree,Data Analyst,I have never written code
8180,18-21,Man,India,Bachelor’s degree,Student,1-3 years
8181,30-34,Woman,Israel,Bachelor’s degree,Data Analyst,1-3 years
8182,22-24,Man,India,Bachelor’s degree,Student,3-5 years
8183,40-44,Man,Indonesia,Master’s degree,Data Scientist,5-10 years
8184,22-24,Woman,South Africa,Bachelor’s degree,Other,1-3 years
8185,18-21,Woman,Pakistan,Bachelor’s degree,Data Scientist,1-3 years
8186,18-21,Woman,Kenya,Bachelor’s degree,Student,< 1 years
8187,25-29,Man,India,Master’s degree,Data Analyst,< 1 years
8188,30-34,Man,United States of America,Doctoral degree,Research Scientist,10-20 years
8189,60-69,Man,India,Doctoral degree,Statistician,20+ years
8190,22-24,Woman,India,Master’s degree,Student,3-5 years
8191,25-29,Man,United States of America,Master’s degree,Student,1-3 years
8192,60-69,Man,United States of America,Master’s degree,Currently not employed,20+ years
8193,25-29,Man,Uganda,Bachelor’s degree,Data Analyst,1-3 years
8194,30-34,Man,Ireland,Doctoral degree,Research Scientist,1-3 years
8195,30-34,Man,Germany,Professional doctorate,Research Scientist,< 1 years
8196,40-44,Woman,United States of America,Doctoral degree,Data Scientist,10-20 years
8197,22-24,Woman,Nigeria,Bachelor’s degree,Data Analyst,1-3 years
8198,50-54,Man,Other,Doctoral degree,Machine Learning Engineer,10-20 years
8199,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,< 1 years
8200,30-34,Man,Turkey,Master’s degree,Currently not employed,3-5 years
8201,30-34,Man,Ireland,Master’s degree,Software Engineer,5-10 years
8202,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
8203,25-29,Man,India,Master’s degree,Business Analyst,< 1 years
8204,35-39,Man,India,Master’s degree,Software Engineer,10-20 years
8205,35-39,Man,Taiwan,Doctoral degree,Research Scientist,1-3 years
8206,30-34,Man,United States of America,Master’s degree,Data Scientist,10-20 years
8207,35-39,Woman,United Arab Emirates,Bachelor’s degree,Business Analyst,I have never written code
8208,30-34,Man,United States of America,Master’s degree,Machine Learning Engineer,5-10 years
8209,70+,Man,Japan,Bachelor’s degree,Data Scientist,20+ years
8210,45-49,Man,China,Master’s degree,Program/Project Manager,10-20 years
8211,30-34,Man,India,Master’s degree,Data Scientist,5-10 years
8212,22-24,Man,Colombia,Bachelor’s degree,Student,< 1 years
8213,22-24,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Student,< 1 years
8214,25-29,Man,Italy,Master’s degree,Data Scientist,3-5 years
8215,30-34,Man,Other,No formal education past high school,Other,< 1 years
8216,25-29,Man,India,Bachelor’s degree,Student,1-3 years
8217,25-29,Man,Brazil,Some college/university study without earning a bachelor’s degree,Student,3-5 years
8218,25-29,Man,Sweden,Master’s degree,Data Scientist,5-10 years
8219,35-39,Woman,India,Master’s degree,Software Engineer,5-10 years
8220,30-34,Man,Canada,Master’s degree,Machine Learning Engineer,10-20 years
8221,22-24,Man,India,Master’s degree,Student,3-5 years
8222,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years
8223,45-49,Man,Poland,No formal education past high school,Program/Project Manager,10-20 years
8224,70+,Man,Italy,Master’s degree,Statistician,10-20 years
8225,22-24,Man,Poland,Master’s degree,Data Scientist,3-5 years
8226,18-21,Man,India,Bachelor’s degree,Student,< 1 years
8227,45-49,Man,Spain,Master’s degree,Student,1-3 years
8228,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years
8229,45-49,Woman,Germany,Doctoral degree,Data Scientist,20+ years
8230,30-34,Man,Brazil,Doctoral degree,Research Scientist,I have never written code
8231,25-29,Man,India,Master’s degree,Business Analyst,3-5 years
8232,30-34,Man,India,Professional doctorate,Research Scientist,< 1 years
8233,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years
8234,35-39,Man,India,Master’s degree,Business Analyst,3-5 years
8235,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Other,< 1 years
8236,30-34,Man,Nigeria,Master’s degree,Statistician,3-5 years
8237,25-29,Woman,India,Master’s degree,Software Engineer,< 1 years
8238,30-34,Man,Ireland,Bachelor’s degree,Student,1-3 years
8239,35-39,Man,India,Master’s degree,Data Scientist,5-10 years
8240,25-29,Man,India,Master’s degree,Currently not employed,1-3 years
8241,30-34,Man,Other,Master’s degree,Student,1-3 years
8242,45-49,Man,United States of America,Master’s degree,Data Analyst,5-10 years
8243,25-29,Woman,India,Master’s degree,Currently not employed,< 1 years
8244,60-69,Man,Russia,Doctoral degree,Other,< 1 years
8245,35-39,Man,Germany,Master’s degree,Machine Learning Engineer,3-5 years
8246,45-49,Man,Chile,Master’s degree,Other,20+ years
8247,40-44,Man,Argentina,Bachelor’s degree,Data Scientist,1-3 years
8248,50-54,Man,Brazil,Master’s degree,Program/Project Manager,10-20 years
8249,30-34,Man,United States of America,Bachelor’s degree,Software Engineer,10-20 years
8250,22-24,Man,Russia,Bachelor’s degree,Student,3-5 years
8251,22-24,Man,Ukraine,Master’s degree,Data Scientist,3-5 years
8252,30-34,Man,Japan,Doctoral degree,Data Scientist,5-10 years
8253,18-21,Man,India,Bachelor’s degree,Student,< 1 years
8254,22-24,Man,India,No formal education past high school,Student,1-3 years
